Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,SERCOM1_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
2,PA01,,SERCOM1_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
3,PA02,,ADC0_AIN0,Analog,High Impedance,n/a,,,NORMAL
4,PA03,,ADC0_AIN1/VREFP,Analog,High Impedance,n/a,,,NORMAL
7,PB08,,PTC_Y14,Digital,High Impedance,n/a,No,No,NORMAL
8,PB09,,PTC_Y15,Digital,High Impedance,n/a,No,No,NORMAL
9,PA04,,PTC_Y2,Digital,High Impedance,n/a,No,No,NORMAL
10,PA05,,PTC_Y3,Digital,High Impedance,n/a,No,No,NORMAL
11,PA06,,PTC_Y4,Digital,High Impedance,n/a,No,No,NORMAL
12,PA07,,PTC_Y5,Digital,High Impedance,n/a,No,No,NORMAL
13,PA08,,PTC_X0/Y16,Digital,High Impedance,n/a,No,No,NORMAL
14,PA09,,PTC_X1/Y17,Digital,High Impedance,n/a,No,No,NORMAL
15,PA10,,PTC_X2/Y18,Digital,High Impedance,n/a,No,No,NORMAL
16,PA11,,PTC_X3/Y19,Digital,High Impedance,n/a,No,No,NORMAL
19,PB10,BLCTRL,GPIO,Digital,In,n/a,No,No,NORMAL
20,PB11,,Available,,,,,,NORMAL
21,PA12,PIC_TX,SERCOM2_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
22,PA13,PIC_RX,SERCOM2_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
23,PA14,,Available,,,,,,NORMAL
24,PA15,,TC4_WO1,Digital,High Impedance,n/a,No,No,NORMAL
25,PA16,,PTC_X4/Y20,Digital,High Impedance,n/a,No,No,NORMAL
26,PA17,,PTC_X5/Y21,Digital,High Impedance,n/a,No,No,NORMAL
27,PA18,,PTC_X6/Y22,Digital,High Impedance,n/a,No,No,NORMAL
28,PA19,,PTC_X7/Y23,Digital,High Impedance,n/a,No,No,NORMAL
29,PA20,,PTC_X8/Y24,Digital,High Impedance,n/a,No,No,NORMAL
30,PA21,,PTC_X9/Y25,Digital,High Impedance,n/a,No,No,NORMAL
31,PA22,PSPARE1,GPIO,Digital,In,n/a,No,No,NORMAL
32,PA23,PSPARE2,GPIO,Digital,In,n/a,No,No,NORMAL
33,PA24,,Available,,,,,,NORMAL
34,PA25,LED_CH_EN,GPIO,Digital,Out,Low,,,NORMAL
37,PB22,MUX_EN,GPIO,Digital,Out,Low,,,NORMAL
38,PB23,PID_DRAIN_EN,GPIO,Digital,Out,Low,,,NORMAL
39,PA27,,Available,,,,,,NORMAL
41,PA28,,Available,,,,,,NORMAL
45,PA30,,Available,,,,,,NORMAL
46,PA31,,Available,,,,,,NORMAL
47,PB02,,PTC_Y8,Digital,High Impedance,n/a,No,No,NORMAL
48,PB03,,PTC_Y9,Digital,High Impedance,n/a,No,No,NORMAL
